"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bodoff","M"
"Hercules","Bernatsky","M"
"Hercules","Bail","F"
"Hercules","Benantar","F"
"Hercules","Benzmuller","M"
"Hercules","Basagni","M"
"Hercules","Bernardinello","F"
"Hercules","Baranowski","M"
"Hercules","Bisiani","F"
"Hercules","Bahr","M"
"Hercules","Biran","F"
"Hercules","Bain","F"
"Hercules","Brendel","F"
"Hercules","Barreiro","M"
"Hercules","Buchter","M"
"Hercules","Baak","M"
